Type,K_value,Inter-Cluster-Density,Intra-Cluster-Density
Cosine,2,0,0.6443735414253235
Cosine,4,0.48923209506045245,0.5946849289400933
Cosine,6,0.4426075391134931,0.5760275384394474
Cosine,8,0.48955604375461487,0.5406444649094472
Cosine,10,0.37939991067399026,0.5834753948420509
Cosine,12,0.3158456859532068,0.5615019035645774
Cosine,14,0.37941574420564644,0.5222570595124482
Euclidean,2,0,0.6552225385701145
Euclidean,4,0.5260116589997262,0.5434647955680101
Euclidean,6,0.42366604704138866,0.5613662377113393
Euclidean,8,0.5392858779604166,0.5402794920597593
Euclidean,10,0.5922130192991777,0.5492430289215539
Euclidean,12,0.5369126317173295,0.49899733047576417
Euclidean,14,0.32906525419375626,0.5998000746397079
